"_id"	"uptime"	"name"	"money"	"league"	"club_name"
"54743641e418841e88c62cc2"	"2014-11-25"	"Manchester United"	"0"	"L1"	"manchesterunited"
"5477d122e41884177447b55f"	"2014-11-26"	"Manchester City"	"0"	"L1"	"manchestercity"
"5477d137e41884177447b561"	"2014-11-26"	"FC Paris Saint-Germain"	"0"	"L1"	"fcparissaint-germain"
"5474220ee418841e88c62cb4"	"2014-11-25"	"FC Barcelona"	"0"	"L1"	"fcbarcelona"
"5474225de418841e88c62cb6"	"2014-11-25"	"Bayern Munich"	"0"	"L1"	"bayernmunich"
"5474299be418841e88c62cbc"	"2014-11-25"	"Real Madrid"	"0"	"L1"	"realmadrid"
"5477d10ee41884177447b55e"	"2014-11-26"	"Chelsea FC"	"0"	"L1"	"chelseafc"
"5477d133e41884177447b560"	"2014-11-26"	"Arsenal FC"	"0"	"L1"	"arsenalfc"
